"location","frequency","lat","lon","class","type","importance","country","continent","confidence"
"United States",5,39.7837304,-100.4458825,"boundary","administrative",1.1356913674576,"United States of America","North America",0
"United States of America",1,39.7837304,-100.4458825,"boundary","administrative",1.1356913674576,"United States of America","North America",0
"US$",1,39.7837304,-100.4458825,"boundary","administrative",0.93569136745759,"United States of America","North America",0
"US$ millions",2,44.0329416,-0.1270174,"place","isolated_dwelling",0.35,"France","Europe",1
"USA",1,39.7837304,-100.4458825,"boundary","administrative",0.93569136745759,"United States of America","North America",0
"Usbekistan",6,41.32373,63.9528098,"boundary","administrative",0.70975568402254,"Uzbekistan","Asia",1
"Ut",1,39.4225192,-111.7143584,"boundary","administrative",0.80376543074007,"United States of America","North America",0
"Wadi Hoff",5,54.5521804,-2.5030368,"place","village",0.385,"United Kingdom","Europe",1
"Wasserversorger",1,47.05805915,15.6770662,"man_made","reservoir_covered",0.111,"Austria","Europe",0
"wei­",1,47.30588585,9.6612239706213,"boundary","administrative",0.48472319726875,"Austria","Europe",0
"Welt­",1,54.3030491,8.7946092,"boundary","administrative",0.57523561679375,NA,NA,0
"West-Afghanistan",1,33.7680065,66.2385139,"boundary","administrative",0.74702748283731,"Afghanistan","Asia",1
"Westafrika",3,52.746658,9.609507,"place","locality",0.36,"Germany","Europe",0
"Western Uganda",1,-0.6547242,30.6720957,"place","state",0.65138794743992,"Uganda","Africa",1
"Windpark",2,48.2558257,7.874131,"man_made","tower",0.111,"Germany","Europe",1
"years",2,36.119754,-81.68548,"waterway","stream",0.425,"United States of America","North America",0
"Yemen",1,16.3471243,47.8915271,"boundary","administrative",0.73416329267819,"Yemen","Asia",1
"Zafarana",24,37.6932846,15.1064599,"boundary","administrative",0.4610367448372,"Italy","Europe",1
"Zambia",4,-14.5186239,27.5599164,"boundary","administrative",0.79492269201686,"Zambia","Africa",0
"Ziele",3,40.257424,35.7431304813238,"boundary","administrative",0.45,"Turkey","Europe",1
"Zieles",1,56.7120712,24.0612231,"place","village",0.275,"Latvia","Europe",1
"Zugang",2,25.5905702,113.6266045,"place","village",0.275,"China","Asia",0
"zum Teil",1,44.5493789,4.6829629,"boundary","administrative",0.61139751661186,"France","Europe",0
"Zunge",1,52.2968483,9.427787,"natural","ridge",0.111,"Germany","Europe",0
